,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kaitangata,92,NZ,1573864819,78,-46.28,169.85,286.48,4.47
1,jamestown,41,AU,1573864814,34,-33.21,138.6,291.39,1.5
2,castro,98,CL,1573864809,81,-42.48,-73.76,285.15,4.1
3,busselton,68,AU,1573864780,29,-33.64,115.35,301.48,5.33
4,mahebourg,75,MU,1573864786,69,-20.41,57.7,297.15,5.7
5,rikitea,100,PF,1573864786,81,-23.12,-134.97,296.21,9.28
6,albany,90,US,1573864766,69,42.65,-73.75,278.15,4.6
7,hermanus,98,ZA,1573864792,92,-34.42,19.24,293.15,0.45
8,hilo,90,US,1573864791,62,19.71,-155.08,302.15,4.1
9,butaritari,100,KI,1573864794,71,3.07,172.79,301.2,1.42
10,punta arenas,40,CL,1573865014,61,-53.16,-70.91,283.15,6.7
11,passo de camaragibe,40,BR,1573865014,88,-9.24,-35.49,296.15,2.1
12,avarua,27,CK,1573864509,74,-21.21,-159.78,300.15,6.2
13,ketchikan,90,US,1573865014,93,55.34,-131.65,282.15,2.6
14,necochea,99,AR,1573864831,65,-38.55,-58.74,295.93,5.81
15,ranghulu,0,CN,1573865015,41,46.63,124.88,263.27,5.55
16,vaini,1,IN,1573864796,97,15.34,74.49,292.26,2.96
17,yatou,75,CM,1573865015,94,3.63,9.81,299.15,0.53
18,ushuaia,40,AR,1573864788,76,-54.81,-68.31,282.15,1.47
19,lebu,40,ET,1573864790,71,8.96,38.73,286.15,1.0
20,polunochnoye,100,RU,1573865015,90,60.87,60.43,274.15,2.69
21,lagoa,17,PT,1573865015,66,37.14,-8.45,283.71,4.6
22,billings,40,US,1573864815,34,45.79,-108.5,285.15,7.7
23,huarmey,79,PE,1573865016,82,-10.07,-78.15,290.51,1.52
24,arraial do cabo,100,BR,1573864806,86,-22.97,-42.02,295.73,8.1
25,port alfred,29,ZA,1573865016,95,-33.59,26.89,289.26,1.14
26,victoria,75,BN,1573864792,88,5.28,115.24,300.15,0.5
27,mataura,61,NZ,1573864789,90,-46.19,168.86,284.26,3.13
28,nanortalik,75,GL,1573864842,69,60.14,-45.24,273.19,7.12
29,karratha,18,AU,1573864796,58,-20.74,116.85,301.33,2.15
30,upernavik,100,GL,1573864777,94,72.79,-56.15,268.22,4.91
31,aswan,66,EG,1573865017,45,24.09,32.9,293.23,6.8
32,hambantota,51,LK,1573864793,80,6.12,81.12,300.19,4.53
33,mayskiy,90,RU,1573865017,100,43.63,44.06,276.15,0.04
34,nome,1,US,1573865017,76,30.04,-94.42,285.15,1.5
35,qaanaaq,100,GL,1573864786,79,77.48,-69.36,260.91,4.41
36,iqaluit,90,CA,1573864807,57,63.75,-68.52,266.15,3.1
37,kenai,90,US,1573865017,74,60.55,-151.26,277.04,7.7
38,atuona,6,PF,1573864790,76,-9.8,-139.03,299.85,6.53
39,okmulgee,1,US,1573864817,56,35.62,-95.96,284.15,1.71
40,izhmorskiy,83,RU,1573865018,79,56.19,86.64,252.72,3.38
41,lesnoy,100,RU,1573865018,95,59.78,52.13,273.11,2.98
42,mackay,90,CA,1573864861,93,53.65,-115.58,276.15,4.6
43,mount isa,9,AU,1573865018,9,-20.73,139.49,307.15,6.2
44,namibe,36,AO,1573864845,78,-15.19,12.15,294.97,7.03
45,souillac,90,FR,1573864822,93,45.6,-0.6,279.26,1.5
46,merauke,50,ID,1573865019,57,-8.49,140.4,304.73,2.21
47,pocosol,75,CR,1573865019,94,10.37,-84.62,295.93,1.5
48,puerto del rosario,20,ES,1573865019,77,28.5,-13.86,291.15,5.1
49,cardston,1,CA,1573865019,79,49.2,-113.32,283.15,13.4
50,zavyalovo,6,RU,1573865019,83,54.51,82.45,247.15,3.0
51,guerrero negro,56,MX,1573865020,69,27.97,-114.04,294.42,5.47
52,yellowknife,90,CA,1573864793,85,62.45,-114.38,262.15,2.6
53,mecca,6,SA,1573864777,66,21.43,39.83,297.71,1.64
54,chokurdakh,89,RU,1573864803,97,70.62,147.9,253.71,2.09
55,nevel,100,RU,1573865020,93,56.02,29.92,274.72,2.29
56,upata,59,VE,1573865020,91,8.02,-62.41,295.96,2.43
57,havelock,90,US,1573864747,100,34.88,-76.9,286.48,7.2
58,east london,37,ZA,1573864793,85,-33.02,27.91,292.66,1.7
59,tuktoyaktuk,75,CA,1573864797,83,69.44,-133.03,252.15,4.1
60,severo-kurilsk,62,RU,1573864805,88,50.68,156.12,268.73,3.06
61,batagay-alyta,14,RU,1573865021,74,67.8,130.41,250.66,0.99
62,tasiilaq,46,GL,1573864808,55,65.61,-37.64,273.15,4.6
63,mana,12,NG,1573865021,20,13.03,5.27,299.92,2.35
64,cherskiy,100,RU,1573864793,86,68.75,161.3,259.42,0.63
65,bluff,2,AU,1573864787,34,-23.58,149.07,303.4,4.47
66,saskylakh,78,RU,1573864795,96,71.97,114.09,248.27,3.16
67,tiarei,20,PF,1573864798,70,-17.53,-149.33,302.15,5.1
68,norman wells,90,CA,1573865022,76,65.28,-126.83,253.15,6.2
69,nikolskoye,75,RU,1573864801,80,59.7,30.79,277.15,4.0
70,provideniya,100,RU,1573864794,93,64.42,-173.23,266.84,7.48
71,bredasdorp,63,ZA,1573864789,88,-34.53,20.04,291.15,1.0
72,riverton,1,US,1573864887,64,43.02,-108.38,280.15,1.5
73,airai,75,TL,1573864802,27,-8.93,125.41,300.96,3.34
74,hobart,40,AU,1573864590,58,-42.88,147.33,286.48,9.8
75,ous,100,RU,1573865023,90,60.91,61.52,271.67,3.86
76,bandarbeyla,3,SO,1573865023,79,9.49,50.81,299.44,8.02
77,nava,0,IN,1573865023,48,24.13,72.17,295.22,3.01
78,esperance,94,AU,1573864796,63,-33.86,121.89,291.15,6.2
79,markapur,69,IN,1573865023,94,15.74,79.27,295.01,1.26
80,baie-comeau,40,CA,1573864769,62,49.22,-68.15,267.59,5.7
81,ribeira grande,84,PT,1573865023,69,38.52,-28.7,288.04,1.96
82,casablanca,75,MA,1573865024,100,33.6,-7.62,288.15,2.6
83,saldanha,99,PT,1573864847,90,41.42,-6.55,275.87,1.63
84,hithadhoo,75,MV,1573864786,74,-0.6,73.08,301.32,4.98
85,roma,75,IT,1573864580,82,41.89,12.48,290.15,5.1
86,cape town,20,ZA,1573864866,72,-33.93,18.42,293.15,9.8
87,quelimane,75,MZ,1573864800,88,-17.88,36.89,300.15,1.5
88,georgetown,40,GY,1573864767,79,6.8,-58.16,302.15,3.1
89,evensk,58,RU,1573865024,71,61.92,159.24,264.42,5.28
90,trento,90,IT,1573865024,98,46.07,11.13,282.04,8.2
91,coihaique,75,CL,1573864861,50,-45.58,-72.07,284.15,2.1
92,thompson,90,CA,1573864810,77,55.74,-97.86,258.15,3.6
93,sainte-martine,20,CA,1573865025,58,45.25,-73.8,272.04,11.3
94,bambous virieux,75,MU,1573865025,69,-20.34,57.76,297.15,5.7
95,sao joao da barra,100,BR,1573865025,91,-21.64,-41.05,295.18,8.27
96,chuy,2,UY,1573864791,89,-33.69,-53.46,288.13,1.99
97,bathsheba,20,BB,1573864843,83,13.22,-59.52,299.15,3.1
98,mamakan,100,RU,1573865025,97,57.82,114.02,244.97,0.14
99,saumur,90,FR,1573865026,93,47.26,-0.08,279.26,3.6
100,nouadhibou,24,MR,1573864874,72,20.93,-17.03,293.15,9.3
101,matucana,100,PE,1573865026,86,-11.84,-76.39,284.39,1.21
102,nabire,15,ID,1573865026,63,-3.36,135.5,303.17,0.49
103,agbor,99,NG,1573865026,98,6.26,6.15,296.6,0.86
104,barrow,64,AR,1573864782,44,-38.31,-60.23,294.88,1.18
105,cabo san lucas,5,MX,1573865026,50,22.89,-109.91,299.26,5.1
106,ouallam,2,NE,1573865026,13,14.32,2.08,301.11,2.71
107,beringovskiy,100,RU,1573864846,77,63.05,179.32,271.64,9.97
108,lunenburg,100,CA,1573865027,90,44.38,-64.32,280.37,0.45
109,phan thiet,54,VN,1573865027,87,10.93,108.1,296.16,1.0
110,parsabad,75,AZ,1573865027,87,39.65,47.92,279.15,2.1
111,fort nelson,75,CA,1573865027,78,58.81,-122.69,260.15,2.6
112,gravdal,100,NO,1573865027,80,59.79,5.78,278.15,4.1
113,carnarvon,0,ZA,1573864797,37,-30.97,22.13,290.54,4.29
114,san ramon,39,NI,1573865028,95,12.92,-85.84,293.2,1.72
115,morwell,87,AU,1573865028,59,-38.24,146.4,288.15,2.68
